,0
480,POINT ( 37.0838419 127.02653817056847 )
481,POINT ( 35.90720495 126.62206860714505 )
482,POINT ( 42.79305685 141.664278240846 )
483,POINT ( 35.392608249999995 136.86939020866765 )
484,POINT ( 34.7491489 137.703168164374 )
485,POINT ( 34.0346985 131.548996 )
486,POINT ( 36.17627924999999 140.40694559765183 )
487,POINT ( 35.8429315 139.4113541 )
488,POINT ( 43.42727445 144.73950989575727 )
489,POINT ( 36.39344695 136.40924640121113 )
490,POINT ( 38.4048996 141.2200012 )
491,POINT ( 40.70795335 141.3624150932239 )
492,POINT ( 35.2540558 136.91969950595234 )
493,POINT ( 26.190657350000002 127.65368238764117 )
494,POINT ( 24.824514399999998 125.1468439713185 )
495,POINT ( 42.246167400000004 140.26489741285098 )
496,POINT ( 35.7490925 139.3490931 )
497,POINT ( 31.4379995 75.75853771127302 )
498,POINT ( 30.37183685 76.81791190031117 )
499,POINT ( 29.994008100000002 77.42699438377268 )
500,POINT ( 32.9024814 75.15659212745616 )
501,POINT ( 25.70357125 91.97629818410783 )
502,POINT ( 26.7018159 89.3664783 )
503,POINT ( 22.3370957 87.21465540559178 )
504,POINT ( 23.475337850000003 87.43125274545831 )
505,POINT ( 25.43689825 81.73421016673637 )
506,POINT ( 26.7441884 83.4518935 )
507,POINT ( 26.2972939 78.22278188888617 )
508,POINT ( 11.0312326 77.04169829450647 )
509,POINT ( 12.9036849 80.12029110854604 )
510,POINT ( 10.722603 79.10852720893595 )
511,POINT ( 26.87022025 70.85668158238228 )
512,POINT ( 18.58033 73.91838555259571 )
513,POINT ( 27.11225215 72.3901820732133 )
514,POINT ( 25.8119595 71.47709219815522 )
515,POINT ( 17.653192949999998 78.39608404696531 )
516,POINT ( 17.54970955 78.52413306848177 )
517,POINT ( 9.156225 92.8215167 )
518,POINT ( -16.3608519 -48.9266103893807 )
519,POINT ( -30.189228200000002 -51.18373455857473 )
520,POINT ( 16.138496500000002 -22.888953109204106 )
521,POINT ( -29.941641150000002 -51.145658708188265 )
522,POINT ( -27.612550249999998 -48.67389819837889 )
523,POINT ( -3.7762585 -38.53549233925898 )
524,POINT ( -3.03553825 -60.04575303314657 )
525,POINT ( -29.960377899999997 30.951271588503978 )
526,POINT ( -8.70990265 -63.900493918125576 )
527,POINT ( -22.93925095 -43.72111262538418 )
528,POINT ( -22.87607655 -43.38199799694537 )
529,POINT ( -29.71216995 -53.69188295731775 )
